MX records
Priority,Host name,Points to address or value,TTL
0,@,zuvic-com.mail.protection.outlook.com,3600

CNAME records
Host name,Points to address or value,TTL
autodiscover,autodiscover.outlook.com,3600
sip,sipdir.online.lync.com,3600
lyncdiscover,webdir.online.lync.com,3600
enterpriseregistration,enterpriseregistration.windows.net,3600
enterpriseenrollment,enterpriseenrollment.manage.microsoft.com,3600

TXT records
TXT name,TXT value,TTL
@,v=spf1 include:spf.protection.outlook.com -all,3600

SRV records
Service,Protocol,Port,Weight,Priority,TTL,Name,Target
_sip,_tls,443,1,100,3600,@,sipdir.online.lync.com
_sipfederationtls,_tcp,5061,1,100,3600,@,sipfed.online.lync.com
